8, 1024, .857, 1252907612.60
8, 2048, 1.713, 2507278047.86
8, 4096, 5.234, 3282359416.12
8, 8192, 20.374, 3372900595.66
8, 16384, 89.984, 3054742031.29
8, 32768, 342.064, 3214344765.23
8, 65536, 1203.17, 3655382457.26
16, 1024, .832, 1290555076.92
16, 2048, 1.344, 3195660190.47
16, 4096, 3.684, 4663373828.44
16, 8192, 13.174, 5216295486.26
16, 16384, 51.044, 5385116898.04
16, 32768, 203.764, 5396005318.78
16, 65536, 810.697, 5425018855.50
32, 1024, .672, 1597830095.23
32, 2048, 1.165, 3686667206.86
32, 4096, 2.914, 5895631154.42
32, 8192, 10.294, 6675682605.01
32, 16384, 40.304, 6820114801.11
32, 32768, 154.195, 7130656816.21
32, 65536, 620.644, 7086262835.22
128, 1024, .703, 1527371015.64
128, 2048, 1.032, 4161790015.50
128, 4096, 2.365, 7264215299.78
128, 8192, 7.853, 8750729241.81
128, 16384, 29.954, 9176667788.74
128, 32768, 117.704, 9341327633.52
128, 65536, 479.968, 9163207778.65
512, 1024, .691, 1553895548.48
512, 2048, .984, 4364804162.60
512, 4096, 2.464, 6972349506.49
512, 8192, 7.934, 8661391068.31
512, 16384, 30.184, 9106742212.56
512, 32768, 119.104, 9231525622.78
512, 65536, 433.306, 10149978331.95
1024, 1024, .695, 1544952264.74
1024, 2048, 1.004, 4277855872.50
1024, 4096, 2.444, 7029406376.43
1024, 8192, 8.034, 8553581869.05
1024, 16384, 30.174, 9109760288.46
1024, 32768, 120.387, 9133142513.52
1024, 65536, 439.381, 10009641998.86
